Key,English,Japanese,SChinese,TChinese
AnalyticsText,In order to make SuperNewRoles an even better mod， we have created a function to send information about positions used to the server. \nThis information can be viewed by SuperNewRoles developers. See the following page for more information. \nYou can change in the settings whether you want to save the information. \nNo personally identifiable elements， such as your player name， will be sent. \n<link href="https://github.com/ykundesu/SuperNewRoles/wiki/解析について">https://github.com/ykundesu/SuperNewRoles/wiki/解析について</link>,SuperNewRolesをさらに良いMODにするため、\n使用した役職などをサーバーに送信する機能を作りました。\nこの情報はSuperNewRolesの開発者が見ることができます。詳細は以下のページを参照してください。\n保存するかは設定で変更できます。\nあなたのプレイヤー名などの個人を特定できる要素は送信しません。\n<link href="https://github.com/ykundesu/SuperNewRoles/wiki/解析について">https://github.com/ykundesu/SuperNewRoles/wiki/解析について</link>,为了改善模组玩家的游戏体验，\n制作组尝试推出将一局游戏中的职业等信息发送给制作组服务器的功能。\n制作组将查阅这些信息来改进本模组；详细可点击最下方网址查看。\n您可以决定自己是否要保留这些信息；\n制作组承诺不会将您的游戏昵称等私人信息发送至服务器。\n<link href="https://github.com/ykundesu/SuperNewRoles/wiki/解析について">https://github.com/ykundesu/SuperNewRoles/wiki/解析について</link>,為了改善遊玩本模組玩家的遊戲體驗，\n製作組推出將遊戲中的職業等資訊傳送給製作組的功能。\n製作組將可查閱這些資訊來改進本模組；詳細可點擊最下方網址查看。\n您可以決定自己是否要保留這些資訊；\n製作組承諾不會將您的遊戲暱稱等個人資料傳送到伺服器。\n<link href="https://github.com/ykundesu/SuperNewRoles/wiki/解析について">https://github.com/ykundesu/SuperNewRoles/wiki/解析について</link>
AnalyticsOK,OK!,了解！,确认,確認！

# CustomColors
colorSalmon,Salmon,サーモン,鲑鱼红,鮭魚紅
colorBordeaux,Bordeaux,ボルドー,枣红,波爾多紅
colorOlive,Olive,オリーブ,橄榄绿,橄欖綠
colorTurqoise,Turqoise,ターコイズ,绿松石,綠松石藍
colorMint,Mint,ミント,薄荷绿,薄荷綠
colorLavender,Lavender,ラベンダー,薰衣紫,薰衣紫
colorNougat,Nougat,ヌガー,棕褐,棕褐
colorPeach,Peach,ピーチ,桃红,桃紅
colorWasabi,Wasabi,ワサビ,芥末绿,芥末綠
colorHotPink,Hot Pink,ホットピンク,热粉,艷粉
colorPetrol,Petrol Blue,ペトロールブルー,油画蓝,油藍
colorLemon,Lemon,檸檬,柠檬黄,檸檬黃
colorSignalOrange,Signal Orange,シグナルオレンジ,信号橙,信號橙
colorTeal,Teal,ティール,蓝绿,青綠
colorBlurple,Blurple,ブラープル,蓝紫,藍紫
colorSunrise,Sunrise,サンライズ,日出红,日出紅
colorIce,Ice,アイス,冰蓝,冰藍
colorPitchBlack,Pitch Black,真っ黒,纯黑,極黑
colorDarkmagenta,Dark Magenta,ダークマゼンタ,深品红,深洋紅
colorMintcream,Mint Cream,ミントクリーム,奶油白,薄荷乳白
colorLeaf,Leaf,若葉,叶绿,葉綠
colorEmerald,Emerald,エメラルド,翡翠,翡翠
colorBrightyellow,Bright yellow,山吹,嫩黄,濃黃
colorDarkaqua,Dark aqua,濃い水色,湖绿,湖水綠
colorMatcha,Matcha,抹茶,抹茶,抹茶
colorPitchwhite,Pitch white,真っ白,纯白,極白
colorDarksky,Dark sky,雨空,乌云,雨天
colorIntenseblue,Intense blue,インスタントブルー,墨蓝,淡藍
colorBlueclosertoblack,Blue closer to black,黒寄りの青,黑蓝,若黑藍
colorSunkengreenishblue,Sunken greenish blue,沈んだ緑みの青,绿蓝,墮綠藍
colorAzi,Azi,アジ,竹荚鱼,竹莢魚
colorPitchred,Pitch red,真っ赤,纯红,極紅
colorPitchblue,Pitch blue,真っ青,纯蓝,極藍
colorPitchgreen,Pitch green,真っ緑,纯绿,極綠
colorPitchyellow,Pitch yellow,真っ黄色,纯黄,極黃
colorBackblue,Back blue,影青,天蓝,影青
colorMildpurple,Mild purple,穏やかな紫,淡紫,溫紫
colorAshishreddishpurplecolor,Ashish reddish purple color,灰みの赤紫系の色,灰红,灰紅紫
colorMelon,Melon,メロン,瓜绿,瓜綠
colorCrasyublue,Crasyu Blue,クラッシュブルー,深海蓝,碧海
colorLightgreen,Light Green,ライトグリーン,浅绿,亮綠
colorAzuki,Azuki,小豆,红豆,紅豆
colorSnow,Snow,雪,雪白,雪白
colorLightMagenta,LightMagenta,ライトマゼンタ,浅品红,淺洋紅
colorPeachFlower,PeachFlower,桃花,桃红,桃紅
colorPlum,Plum,梅,梅红,梅紅
colorSkyBlue,SkyBlue,青空,天蓝,天藍
colorLightCyan,LightCyan,ライトシアン,浅青,淡青
colorLightOrange,LightOrange,ライトオレンジ,浅橙,亮橘
colorSprout,Sprout,新芽,芽绿,新芽綠
colorNega,Nega,ネガ,负片滤镜,負片
colorGold,Gold,金色,金黄,金色
colorWineRed,WineRed,ワインレッド,酒红,酒紅
colorCrazyRed,CrazyRed,クレイジーレッド,大红,瘋狂紅
colorTokiwaGreen,TokiwaGreen,常磐緑,常青绿,常磐綠
colorPosi,Posi,ポジ,正片滤镜,正片
colorXmasRed,X'masRed,クリスマスレッド,圣诞红,聖誕紅
colorXmasGreen,X'masGreen,クリスマスグリーン,圣诞绿,聖誕綠
colorCyberRed,CyberRed,サイバーレッド,赛博红,電馭紅
colorCyberYellow,CyberYellow,サイバーイエロー,赛博黄,電馭黃
colorCyberGreen,CyberGreen,サイバーグリーン,赛博绿,電馭綠
colorCyberBlue,CyberBlue,サイバーブルー,赛博蓝,電馭藍
colorCyberPurple,CyberPurple,サイバーパープル,赛博紫,電馭紫

LightColor,bright,明るい,亮,亮
DarkerColor,darker,暗い,暗,暗

# CustomOptions
MapCustom,Map Custom,マップ改造,地图设置,地圖設定
SecretRoom,(Airship)Secret Room,(エアーシップ)シークレットルーム,Airship：机密室,AirShip：密室
enableMirrorMap,enable MirrorMap,反転マップを有効にする,启用镜像地图,啟動鏡像地圖
SettingpresetSelection,Preset,プリセット,预设,預設
SettingSuperNewRoles,<color=#ffa500> S u p e r </color><color=#ff0000>N e w </color><color=#00ff00>R o l e s</color> Settings,<color=#ffa500> S u p e r </color><color=#ff0000>N e w</color><color=#00ff00> R o l e s </color>の設定,<color=#ffa500> S u p e r </color><color=#ff0000>N e w</color><color=#00ff00> R o l e s </color>设置,<color=#ffa500> S u p e r </color><color=#ff0000>N e w</color><color=#00ff00> R o l e s </color>設定
SettingImpostor,<color=#ff0000>Impostor</color> Settings,<color=#ff0000>インポスター</color>の設定,<color=#ff0000>内鬼阵营</color>设置,<color=#ff0000>內鬼陣營</color>設定
SettingNeutral,<color=#808080>Neutral</color> Settings,<color=#808080>第三陣営</color>の設定,<color=#808080>独立阵营</color>设置,<color=#808080>中立陣營</color>設定
SettingCrewmate,<color=#a9ceec>Crewmate</color> Settings,<color=#00ffff>クルーメイト</color>の設定,<color=#00ffff>船员阵营</color>设置,<color=#00ffff>船員陣營</color>設定
modifierSettings,<color=#ff8cc5>Add-on</color> Settings,<color=#ff8cc5>アドオン</color>の設定,<color=#ff8cc5>附加</color>设置,<color=#ff8cc5>附加</color>設定
SettingRegulation,Regulation Settings,レギュレーション設定,常规设置,通常設定
SettingMiniCrewRole,Minimum Crewmate Roles,最小クルーメイト役職数,船员阵营最小职业数,船員陣營職業數最少值
SettingMaxCrewRole,Maximum Crewmate Roles,クルーメイト役職人数,船员阵营最大职业数,船員陣營職業數最大值
SettingMiniCrewGhostRole,Minimum Crewmate Ghost Roles,最小クルーメイト幽霊役職数,船员阵营最小亡灵职业数,船員陣營亡靈職業數最小值
SettingMaxCrewGhostRole,Maximum Crewmate Ghost Roles,クルーメイト幽霊役職人数,船员阵营最大亡灵职业数,船員陣營亡靈職業數最大值
SettingMiniNeutralRole,Minimum Neutral Roles,最小第三陣営役職数,独立阵营最小职业数,中立陣營職業數最小值
SettingMaxNeutralRole,Maximum Neutral Roles,第三陣営役職人数,独立阵营最大职业数,中立陣營職業數最大值
SettingMiniNeutralGhostRole,Minimum Neutral Ghost Roles,最小第三陣営幽霊役職数,独立阵营最小亡灵职业数,中立陣營亡靈職業數最小值
SettingMaxNeutralGhostRole,Maximum Neutral Ghost Roles,第三陣営幽霊役職人数,独立阵营最大亡灵职业数,中立陣營亡靈職業數最大值
SettingMiniImpoRole,Minimum Impostor Roles,最小インポスター役職数,内鬼阵营最小职业数,內鬼陣營職業數最小值
SettingMaxImpoRole,Maximum Impostor Roles,インポスター役職人数,内鬼阵营最大职业数,內鬼陣營職業數最大值
SettingMiniImpoGhostRole,Minimum Impostor Ghost Roles,最小インポスター幽霊役職数,内鬼阵营最小亡灵职业数,內鬼陣營亡靈職業數最小值
SettingMaxImpoGhostRole,Maximum Impostor GhostRoles,インポスター幽霊役職人数,内鬼阵营最大亡灵职业数,內鬼陣營亡靈職業數最大值
SettingMaxRoleCount,Maximum {0} Roles,最大{0}役職,最大{0}职业数,最大{0}職業數
SettingsHideSetting,Hide Setting,設定を隠す,隐藏房间设置,隱藏設定
SettingCrewmateTeamRolesName,Position setting of crewmate camp,クルーメイト陣営の役職設定,船员阵营职业设置,船員陣營職業設定
SettingImpostorTeamRolesName,Impostor camp position setting,インポスター陣営の役職設定,内鬼阵营职业设置,內鬼陣營職業設定
Setting,Setting up positions in the third camp,第三陣営の役職設定,独立阵营职业设置,中立陣營職業設定
SettingAllOkRolesName,Setting up multiple positions,複数役職の設定,附加职业设置,多重職業設定
Settingsonota,Other settings,その他の設定,其他设置,其他設定
optionOn,<color=#00e000>On</color>,<color=#00e000>オン</b></color>,<color=#00e000>开启</color>,<color=#00e000>開</color>
optionOff,<color=#949495>Off</color>,<color=#949495>オフ</color>,<color=#949495>关闭</color>,<color=#949495>關</color>
preset,Preset,プリセット,预设,預設
unitSeconds,Seconds,秒,秒,秒
SettingPlayerCountName,Role Player,人数,人数,人數
CustomStremerMode,Hide Server Url,サーバーURLを非表示にする,直播模式,直播模式
CustomAutoUpdate,Auto Update,自動アップデート,自动更新,自動更新
CustomAutoCopyGameCode,Game Code Auto Copy,ゲームコードを自動でコピーする,自动复制房间代码,自動複製房間代碼
CustomProcessDown,Update Process Down,処理回数を減らす,更新进程已关闭,更新處理已關閉
CustomIsVersionErrorView,Show players Errors.,エラーを表示する,显示错误,顯示錯誤
CustomHideTaskArrows,Hide Tasks Arrows,タスクの矢印を非表示にする,隐藏任务指向箭头,隱藏任務指向
IsSendAnalytics,Send Analytics,解析を送信する,,傳送解析資料
SettingCrewmateRoles,Crewmate Setting,クルーメイトの人数設定,船员阵营职业设置,船員陣營職業設定
SettingCrewmateGhostRoles,Crewmate GhostRole Setting,クルーメイトの幽霊役職の人数設定,船员阵营幽灵职业设置,船員陣營亡靈職業設定
SettingNeutralRoles,Neutral Setting,第三陣営の人数設定,独立阵营职业设置,中立陣營職業設定
SettingNeutralGhostRoles,Neutral GhostRole Setting,第三陣営の幽霊役職の人数設定,独立阵营幽灵职业设置,中立陣營亡靈職業設定
SettingImpostorRoles,Impostor Setting,インポスターの人数設定,内鬼阵营职业设置,內鬼陣營職業設定
SettingImpostorGhostRoles,Impostor GhostRole Setting,インポスターの幽霊役職の人数設定,内鬼阵营幽灵职业设置,內鬼陣營亡靈職業設定
SettingOptionOn,On,オン,开启,開
SettingOptionOff,Off,オフ,关闭,關
SettingPressTabForMore,Press Tab For More,Tabを押して詳細を表示,按Tab键查看更多...,按下 TAB 查看更多...
SettingPressTabUpdateString,Press G to open the next page {0} / {1},Tabを押してページを送る {0} / {1},按Tab键或G键翻页{0} / {1},按G鍵開啟下一頁 {0} / {1}
ErrorHostNoVersion,Your host does not have <color=#ffa500>Super</color><color=#ff0000>New</color><color=#00ff00>Roles</color>.,ホストに<color=#ffa500>Super</color><color=#ff0000>New</color><color=#00ff00>Roles</color>が導入されておりません。,房主没有安装<color=#ffa500>Super</color><color=#ff0000>New</color><color=#00ff00>Roles</color>模组,房主沒有安裝<color=#ffa500>Super</color><color=#ff0000>New</color><color=#00ff00>Roles</color>模組
ErrorHostChangeVersion,The host has a different version of <color=#ffa500>Super</color><color=#ff0000>New</color><color=#00ff00>Roles</color>.,ホストが使用している<color=#ffa500>Super</color><color=#ff0000>New</color><color=#00ff00>Roles</color>のバージョンと異なります。,房主安装的<color=#ffa500>Super</color><color=#ff0000>New</color><color=#00ff00>Roles</color>模组版本不同,與房主安裝的<color=#ffa500>Super</color><color=#ff0000>New</color><color=#00ff00>Roles</color>模組版本不同
ErrorHostGuidMatches,The host uses a different <color=#ffa500>Super</color><color=#ff0000>New</color><color=#00ff00>Roles</color> dll file.,ホストが使用している<color=#ffa500>Super</color><color=#ff0000>New</color><color=#00ff00>Roles</color>のdllファイルと異なります。,房主的<color=#ffa500>Super</color><color=#ff0000>New</color><color=#00ff00>Roles</color>dll文件不同,與房主的<color=#ffa500>Super</color><color=#ff0000>New</color><color=#00ff00>Roles</color>dll文件不同
ErrorClientNoVersion,You don't have <color=#ffa500>Super</color><color=#ff0000>New</color><color=#00ff00>Roles</color> in {0}.,{0}に<color=#ffa500>Super</color><color=#ff0000>New</color><color=#00ff00>Roles</color>が導入されておりません。,{0}未安装<color=#ffa500>Super</color><color=#ff0000>New</color><color=#00ff00>Roles</color>模组,{0}未安裝<color=#ffa500>Super</color><color=#ff0000>New</color><color=#00ff00>Roles</color>模組
ErrorClientChangeVersion,The version of <color=#ffa500>Super</color><color=#ff0000>New</color><color=#00ff00>Roles</color> in {0} is wrong.,{0}が使用している<color=#ffa500>Super</color><color=#ff0000>New</color><color=#00ff00>Roles</color>のバージョンが異なります。,{0}安装的<color=#ffa500>Super</color><color=#ff0000>New</color><color=#00ff00>Roles</color>模组版本不同,{0}安裝的<color=#ffa500>Super</color><color=#ff0000>New</color><color=#00ff00>Roles</color>模組版本不同
ErrorClientGuidMatches,{0} uses a different <color=#ffa500>Super</color><color=#ff0000>New</color><color=#00ff00>Roles</color> dll file.,{0}が使用している<color=#ffa500>Super</color><color=#ff0000>New</color><color=#00ff00>Roles</color>のdllファイルが異なります。,{0}的<color=#ffa500>Super</color><color=#ff0000>New</color><color=#00ff00>Roles</color>dll文件不同,{0}的<color=#ffa500>Super</color><color=#ff0000>New</color><color=#00ff00>Roles</color>dll文件不同
ErrorClientCanNotPley,,ゲストのMod導入状態に問題がある為、開始できません。\n同verの<color=#ffa500>SNR</color>を導入してもらう、HostModeに変更する等対応をお願いします。,由于有玩家模组导入出现问题，游戏无法开始。\n请尝试重新导入该版本的模组文件、改变模式等方法。,由於有玩家模組導入出現問題，遊戲無法開始。\n請嘗試重新導入該版本的模組文件、改變模式等方法。
KickReasonHostNoVersion,The host has no or a different version of <color=#ffa500>SNR</color>\nYou will be kicked in {0}s,ホストが<color=#ffa500>SNR</color>を導入していない、又はバージョンが違う為、\nあと{0}秒でキックされます。,房主没有安装<color=#ffa500>Super</color><color=#ff0000>New</color><color=#00ff00>Roles</color>模组或模组版本不同\n您将在{0}秒内被踢出,房主沒有安裝<color=#ffa500>Super</color><color=#ff0000>New</color><color=#00ff00>Roles</color>模組或模組版本不同\n您將在{0}秒內被踢出
IsSpecialModeOnAndVanillaKickOff,If <color=#eebbcb>[Kick non-PCs]</color> is disabled， the\nmap will be selected for <color=#cd5c5c>MiraHQ</color>.\nIf you want to use<color=#a67646>Agartha</color>\nEnable <color=#eebbcb>[Kick non-PCs]</color>.,<color=#eebbcb>「PC以外をキックする」</color>が無効である場合、\nマップは<color=#cd5c5c>MiraHQ</color>に選択されます。\n<color=#a67646>Agartha</color>を使用したい場合は、\n<color=#eebbcb>「PC以外をキックする」</color>を有効にしてください。,如果 “<color=#eebbcb>踢出非电脑端玩家</color>”设置为否，\n地图将变为<color=#cd5c5c>米拉总部</color>。\n要启用<color=#a67646>雅各泰</color>地图，\n需要将“<color=#eebbcb>踢出非电脑端玩家</color>”选项设置为是。,如果 “<color=#2792c3>踢出非電腦端玩家</color>”設置為否，\n地圖將變為<color=#cd5c5c>米拉總部</color>。\n要啟用<color=#a67646>雅戈泰</color>地圖，\n需要將“<color=#2792c3>踢出非電腦端玩家</color>”選項設置為是。
RamdomMapSetting,RandomMap,ランダムマップ,随机地图,隨機地圖
RMSkeldSetting,<color=#8fbc8f>Skeld</color>,<color=#8fbc8f>Skeld</color>が有効,可随机游玩骷髅舰(<color=#8fbc8f>Skeld</color>),可隨機遊玩<color=#8fbc8f>Skeld</color>地圖
RMMiraSetting,<color=#cd5c5c>Mira HQ</color>,<color=#cd5c5c>Mira HQ</color>が有効,可随机游玩米拉总部(<color=#cd5c5c>Mira HQ</color>),可隨機遊玩<color=#cd5c5c>Mira HQ</color>地圖
RMPolusSetting,<color=#4b0082>Polus</color>,<color=#4b0082>Polus</color>が有効,可随机游玩波鲁斯(<color=#4b0082>Polus</color>),可隨機遊玩<color=#4b0082>Polus</color>地圖
RMAirshipSetting,<color=#ff0000>Airship</color>,<color=#ff0000>Airship</color>が有効,可随机游玩飞艇(<color=#ff0000>Airship</color>),可隨機遊玩<color=#ff0000>Airship</color>地圖
ADMINButton,ADMIN,アドミン,地图,管理員地圖
timeRemaining,Remaining: {0},残り{0},剩余：{0}秒,剩餘：{0}秒
restrictOutOfTime,Time up,時間切れ,超时,時間到
RestrictDevicesSetting,Device Restrictions,機器の制限,设备限制,裝置限制
RestrictAdminSetting,Admin Restrictions,アドミンの制限,管理地图限制,管理員地圖限制
RestrictCameraSetting,Camera Restrictions,カメラの制限,监控限制,監視器限制
RestrictVitalSetting,Vital Restrictions,バイタルの制限,生命监测装置限制,生命跡象檢測器限制
DeviceTimeSetting,Can use time,使用可能時間,飞船设备最大可使用时间,裝置最大可使用時間
IsYkundesuBeplnExSetting,ykundesuBeplnEx,ykundesuBeplnEx,启用ykundesuBeplnEx,ykundesuBeplnEx
restrictOutOfTimeVerYkundesuBeplnEx,ykundesuBeplnEx IS! VERY! VERY DELICIOUSSSSS!!!!!，isn't it?,ﾖｯｷﾝｸﾞﾍﾞｯﾋﾟﾝｲｰｴｯｸｽおいしい,关注B站@心音糖果_Tingo谢谢喵！
ReactorDurationSetting,Reactor Duration Time,リアクター継続時間の設定,自定义核反应堆紧急破坏持续时间,核子反應爐緊急任務持續時間
PolusReactorTime,Polus Reactor Duration Time,ポーラスでのリアクター時間,波鲁斯(Polus)抗震器紧急破坏持续时间,Polus核子反應爐震盪緊急任務持續時間
MiraReactorTime,Mira Reactor Duration Time,ミラでのリアクター時間,米拉总部(Mira)核反应堆紧急破坏持续时间,MiraHQ核子反應爐緊急任務持續時間
AirshipReactorTime,Airship  Reactor Duration Time,エアーシップでのリアクター時間,飞艇(AirShip)撞毁路线紧急破坏持续时间,AirShip飛船撞毀緊急任務持續時間
VentMakerButtonName,Make Vent,設置,制造管道口,製造通風管道出入口
AddVitalsMiraSetting,Adding vitals to Mira,Miraにバイタルを追加する,米拉总部(Mira)：追加生命监测装置,MiraHQ：增加生命跡象檢測器
VentAnimationPlaySetting,Play Vent Animation,ベントアニメーション有効化,播放管道动画,啟用通風管道動畫
MapRemodelingOptionSetting,Map Remodeling,マップ改造,地图改造,地圖改造
AirShipAdditionalVents,AirShipAdditionalVents,エアーシップにベントを追加する,飞艇(AirShip)：增加管道,AirShip：增加通風管道
PolusAdditionalVents,PolusAdditionalVents,ポーラスにベントを追加する,波鲁斯(Polus)：增加管道,Polus：增加通風管道
MiraAdditionalVents,MiraAdditionalVents,ミラにベントを追加する,米拉总部(Mira)：增加管道,MiraHQ：增加通風管道
Zoomafterdeath,Zoom function after death,死後のズーム機能,死亡玩家功能设定,死亡玩家功能設定
mousemode,Mouse wheel Mode,マウスホイールモード,鼠标滚轮模式,滑鼠滾輪模式
clairvoyantmode,ClairvoyantMode,千里眼モード,千里眼模式,千里眼模式
clairvoyantCoolTime,ClairvoyantCoolTime,千里眼のクールダウン,千里眼冷却时间,千里眼冷卻時間
clairvoyantDurationTime,ClairvoyantDurationTime,千里眼の継続時間,千里眼持续时间,千里眼持續時間
ClairvoyantButtonName,Clairvoyant!,千里眼,千里眼,千里眼
LadderDead,Ladder Death,転落死,从梯子上下滑可能摔死,爬梯手滑摔死可能性
LadderDeadChance,Ladder Death Chance,転落死する確率,摔死的概率,摔死的機率
MoveElecPadSetting,Move the switchboard.,配電盤を移動する,更改配电板位置,移動配電箱位置
AirshipDisableMovingPlatformSetting,Disable Moving Platform,昇降機のリフトを無効化する,禁用移动平台,禁用移動平台
AddWireTaskSetting,Add Wire Task,配線タスクを追加する,追加修复配线任务,增加配線任務
RandomSpawnOption,Random Spawn,ランダムスポーン,启用随机出生点,隨機重生點
IsAlwaysReduceCooldown,Reduce Cooldown,常にキルクールタイムが進む,击杀冷却不会以任何原因停止计算,擊殺冷卻時間不停止計算
IsAlwaysReduceCooldownExceptInVent,Reduce Cooldown Except InVent,ベント内でも進む,击杀冷却会在进入管道期间停止计算,擊殺冷卻時間在進入通風管道期間停止計算
IsAlwaysReduceCooldownExceptOnTask,Reduce Cooldown Except OnTask,停電修理中でも進む,击杀冷却会在修理紧急任务时停止计算,擊殺冷卻時間在緊急任務期間停止計算
IsChangeTheWinCondition,Change the win condition,勝利条件を変更する,胜利条件变更,更改勝利條件
DisconnectNotPC,Kick non-PCs.,PC以外をキックする,踢出非电脑端玩家,踢出非PC端玩家
DisconnectDontHaveFriendCode,Ban people who do not have a friend code (enable is recommended),フレンドコードを持っていない人をBANする(有効を推奨),踢出未持有好友码的玩家（推荐）,踢出未持有好友碼的玩家（推薦）
WireTaskIsRandom,Wire task random,配線タスクランダム,随机分配修复配线的任务地点,隨機分配配線任務位置
WireTaskNum,Wire task num,配線タスク数,修复配线任务总数,配線任務總數
RestrictDevicesTimeOption,Time limit setting,時間制限の設定,,時間限制設定
RestrictAdmin,Restrict Admin,アドミンの時間制限,管理地图使用时间限制,管理員地圖時間限制
RestrictVital,Restrict Vital,バイタルの時間制限,生命监测装置使用时间限制,生命跡象檢測器時間限制
RestrictCamera,Restrict Camera,カメラの時間制限,监控使用时间限制,監視器時間限制
CanNotGhostSeeRole,When a player dies，the role of other players is not displayed.,死亡時に他プレイヤーの役職を表示しない,死亡玩家不能确认其他玩家的职业,死亡時不顯示其他玩家的職業
OnlyImpostorGhostSeeRole,Impostors display the roles of other players.,インポスターは死亡時に他プレイヤーの役職を表示する,只有死亡的内鬼玩家可以确认其他玩家的职业,只有內鬼死亡時才顯示其他玩家的職業
CanGhostSeeVote,After death，everyone's voting address can be confirmed.,死亡者が全員の投票先を確認できる,死亡玩家能确认所有玩家的职业,死亡玩家能確認所有玩家的投票
AntiTaskOverWallSetting,Cannot tasks over the wall.,壁越しにタスクをできない,禁止隔墙做任务,禁止隔牆做任務
ShuffleElectricalDoorsSetting,Shuffle electrical doors after meeting,会議後に電気室のドアをシャッフルする,飞艇地图配电室门的开关在会议后重新分配,AirShip地圖配電室門的開關會在會議結束後重新配置

# Modes
ModeSetting,Mode Setting,モード設定,模式设置,模式設定
SettingMode,Mode,モード,游戏模式,遊戲模式
SettingHideAndSeekMode,Hide And Seek Mode,かくれんぼモードの設定,躲猫猫模式设置,躲貓貓模式設定
SettingBattleRoyalMode,Battle Royal Mode,バトルロイヤルモードの設定,大逃杀模式设置,大逃殺模式設定
SettingSuperHostRolesMode,Super Host Roles Mode,SuperHostRolesの設定,SuperHostRoles设置,SuperHostRoles設定
SettingZombieMode,Zombie Mode,ゾンビモードの設定,生化危机模式设置,殭屍模式設定
SettingRandomColorMode,Random Color Mode,ランダムカラーモードの設定,随机颜色模式设置,隨機顏色模式設定
SettingDetectiveMode,Detective Mode,探偵モードの設定,侦探模式设置,偵探模式設定
DefaultModeName,Defalut Mode,通常モード,末日模式,預設模式
